seed,variant_or_baseline,rmse_holdout,m_psi,m_dauroc
2014,V-FULL,0.1183362360110408,0.9022556390977444,1.0
2014,V-A0,0.3365686328869279,,
2014,V-SOFT,0.5083701840612764,0.6827067669172932,1.0
2014,V-ORAC,0.0,0.9924812030075189,1.0
2014,B-POOL,0.3414950529116705,,
2014,B-ENVNN,0.9779026259690236,,
2014,B-MIXED,0.3023218024692004,,
2014,B-IRML,0.3397979198171,,
2015,V-FULL,0.1325109999184695,0.8451127819548873,0.85
2015,V-A0,0.3335326935390961,,
2015,V-SOFT,0.408857625191369,0.7353383458646616,0.8899999999999999
2015,V-ORAC,0.0,0.9969924812030074,0.95
2015,B-POOL,0.3339918259718665,,
2015,B-ENVNN,0.8093114466550839,,
2015,B-MIXED,0.2984517318508985,,
2015,B-IRML,0.3362766950863172,,
2016,V-FULL,0.1266130051305445,0.825563909774436,0.96
2016,V-A0,0.3493443129163086,,
2016,V-SOFT,0.4630624385032079,0.40751879699248117,0.8700000000000001
2016,V-ORAC,0.0,0.9984962406015038,0.96
2016,B-POOL,0.3572791643802309,,
2016,B-ENVNN,0.9405825434454,,
2016,B-MIXED,0.3353342865795356,,
2016,B-IRML,0.3549450265549634,,
2017,V-FULL,0.1000180839274257,0.9082706766917292,0.92
2017,V-A0,0.3004096854152664,,
2017,V-SOFT,0.4937835180838881,0.39999999999999997,0.75
2017,V-ORAC,0.0,0.9969924812030074,1.0
2017,B-POOL,0.3004985945697278,,
2017,B-ENVNN,0.5126944707643671,,
2017,B-MIXED,0.2697130370588644,,
2017,B-IRML,0.2981596197344183,,
2018,V-FULL,0.2659289634432212,0.7909774436090224,0.96
2018,V-A0,0.4035969867273258,,
2018,V-SOFT,0.4322317951446556,0.4541353383458646,0.87
2018,V-ORAC,0.0,0.9924812030075189,0.98
2018,B-POOL,0.4200497363203052,,
2018,B-ENVNN,1.4529470360828527,,
2018,B-MIXED,0.3317964391357991,,
2018,B-IRML,0.4211891151435694,,
2019,V-FULL,0.1647555382945809,0.5458646616541353,0.8500000000000001
2019,V-A0,0.3960122246260665,,
2019,V-SOFT,0.3892244645694387,0.312781954887218,0.73
2019,V-ORAC,0.0,1.0,0.84
2019,B-POOL,0.41011179734203,,
2019,B-ENVNN,0.9544535673584016,,
2019,B-MIXED,0.3671810360592842,,
2019,B-IRML,0.4101694813264592,,
2020,V-FULL,0.1457385222307707,0.675187969924812,0.8200000000000001
2020,V-A0,0.3825089611154417,,
2020,V-SOFT,0.4920874037260248,0.42556390977443603,0.7
2020,V-ORAC,0.0,0.9954887218045112,0.8
2020,B-POOL,0.3883344334722616,,
2020,B-ENVNN,1.0032711664560157,,
2020,B-MIXED,0.3526963579227461,,
2020,B-IRML,0.3895140208312745,,
2021,V-FULL,0.1873704055873629,0.6857142857142857,0.8200000000000001
2021,V-A0,0.3850917224033017,,
2021,V-SOFT,0.3804038608205201,0.5789473684210527,0.8
2021,V-ORAC,0.0,0.9909774436090224,0.8699999999999999
2021,B-POOL,0.3943573945195577,,
2021,B-ENVNN,1.432051272602895,,
2021,B-MIXED,0.3401041734780099,,
2021,B-IRML,0.3946289836914914,,
2022,V-FULL,0.1562185583656728,0.8917293233082706,1.0
2022,V-A0,0.3226597341440513,,
2022,V-SOFT,0.361608093882989,0.7428571428571428,0.9700000000000001
2022,V-ORAC,0.0,0.9984962406015038,1.0
2022,B-POOL,0.3687719478720619,,
2022,B-ENVNN,1.461409173000079,,
2022,B-MIXED,0.2921348634078016,,
2022,B-IRML,0.3697825783332369,,
2023,V-FULL,0.1736431223464173,0.7924812030075187,0.9
2023,V-A0,0.4206119039585396,,
2023,V-SOFT,0.3547748435439878,-0.08872180451127819,0.8999999999999999
2023,V-ORAC,0.0,0.9924812030075189,0.83
2023,B-POOL,0.4484455768240941,,
2023,B-ENVNN,1.1899761553648949,,
2023,B-MIXED,0.3893360185136694,,
2023,B-IRML,0.4514186957577613,,
2024,V-FULL,0.2052349202176688,0.8360902255639097,0.8899999999999999
2024,V-A0,0.3627893151270885,,
2024,V-SOFT,0.4442081884676617,0.6345864661654135,0.91
2024,V-ORAC,0.0,1.0,0.94
